"treatment","site","radius","uplanddeciduous","uplandshrubs","water","nonforest","lowlanddeciduous","uplandmixedwood","lowlandmixedwood","uplandspruce","lowlandspruce","pine","tamarack","openwetland","cutblocks","pipeline","transmissionline","wellsite","blockfeatures","road","trail","seismic_3d","seismicline"
"Post",10,750,6.167849457,0,0,0,0,6.894528366,0,7.368245402,30.47998354,16.54107958,7.97189375,2.295279726,4.221853708,21.37182694,4.32550826,0.467898707,12.17736839,3.18312692,0.064798131,0.849503735,0.9354034
"Post",12,750,27.08521195,34.80811269,0,2.266290018,0,0,0,1.868980767,13.19473397,0.769396728,0.491537582,18.85740665,0,6.319469695,0,0.863816248,0,2.381630976,0.279562482,0,0.350469091
"Post",13,750,38.22665331,0,0,0,0,11.62622414,0,13.50411177,13.61825777,14.87106424,0.733474644,0,0,3.592496952,0,3.387760087,8.972812902,2.464028365,0,0.607906043,0.295492253
"Post",14,750,7.14408365,0,0,0,0,0.678107087,0,6.108577983,71.64793317,11.65980166,0,0,0,4.358369041,0,4.137336399,2.439554218,2.345539868,0,4.808642922,1.201379913
"Post",15,750,13.25807157,0,7.206507242,0,0,9.574474596,0,5.373345246,43.30735098,15.42197652,0,0,0,2.229944979,0,0.362629339,2.482139993,2.502353915,0.104386692,1.734102786,0.907105655
"Post",16,750,3.330413993,0,0,0.332037907,0,0,0,9.697276235,28.81294366,38.21458412,5.562175817,2.519091356,0,3.17622989,0,10.21000978,4.998985082,4.324616591,0.393603849,1.3917153,0.698440447
"Post",17,750,17.63801601,0,0,0,0,11.51724152,0,8.360470459,12.13473677,0.971453865,0,9.177728936,0,4.375674259,0,12.80782133,2.165074348,2.885220809,0.07470007,0.241810109,0.89940055
"Post",18,750,40.03024777,0,0,0,0,0.256666905,0,33.6125435,11.37507059,0.312296987,1.642231821,0,0,2.858571988,3.173965765,1.96237601,26.80565154,5.46903688,0,0.793141159,0.350398178
"Post",19,750,5.96016986,0,0,0.549977253,0,0,0,0,42.13991588,40.38884371,3.733028001,5.770821301,0,0,0,2.695433322,2.03936351,3.317229418,0.102991253,1.566905495,0.535904922
"Post",20,750,18.66616655,0.671291918,0,0,0,20.39447112,0,14.81214067,26.28424796,6.49879281,0,9.818633089,0,0,0,1.546327907,8.263386097,3.379399075,0.390363184,0.154855514,0.579975348
"Post",21,750,13.00463094,0,0,0.816785126,0,4.349834209,0,3.721073704,13.28825601,1.956456061,0.568376112,18.0657894,7.12615927,0,3.140728588,0.249761883,11.24667166,8.86577832,0.132131868,0,0.256340603
"Post",22,750,0.708655081,0,0.252840998,0,0,0.900224423,0.332652485,1.25057486,30.77104482,46.18022814,6.283057813,0.532001435,0,4.328084553,0,0.564593267,4.852036677,4.07750734,0.039783319,0,1.835385133
"Post",23,750,8.248209944,0,0,7.312534124,0.338900988,2.698380666,0,1.400230639,19.58336474,52.72758655,0.639931247,0,3.475564401,1.278690017,0,0.586774825,8.937492024,5.419361414,0.021008628,0,1.050694964
"Post",24,750,6.995128518,1.050302064,0.993582961,0.217457845,0,0,0,1.704304667,27.39686944,46.96791328,0,6.59054451,0,1.302265093,0,0.499602216,2.082095781,5.824691525,0,0,0.120832197
"Post",25,750,11.03542318,0,0,0,0,3.312643262,2.100162837,6.265614256,38.43458076,20.01449073,10.00405842,1.007039058,5.95120216,4.354640556,3.208559416,1.278561831,2.499818,2.608799184,0,3.796407662,0.888114754
"Post",26,750,10.28624591,0,0,13.59752561,0,5.116990515,0,3.548062865,57.29584507,4.982606004,0,0,1.080705537,4.592593351,0.567628094,1.957974549,13.48156278,2.479684007,0.468846709,0,0.789411427
"Post",27,750,19.68403885,0.093688552,3.356853671,27.24137736,0.181024519,11.40618765,0,3.934880548,2.801503337,15.57530317,0,8.989989912,3.446250467,1.451858774,0.507117227,1.406686797,0,4.029743201,0,0.121259128,0.512949668
"Post",29,750,10.22963638,0,0,4.621652831,0,11.69550369,0,0,21.33062847,13.95451386,36.43620677,0.560087905,0,4.59328002,0,3.070653432,0.134715897,2.782688194,0,5.299892531,0.555424581
"Post",30,750,40.1267859,5.743430168,8.146381288,1.456658754,0,16.83390743,0,3.877927831,7.770692431,4.241123792,0,2.615039447,18.28247093,1.234226572,0,0.0953976,0,4.33387748,0.22613846,0,0
"Post",31,750,35.98753502,4.033625841,9.058412736,5.638543887,0,25.05677245,0.342889389,1.922587841,5.278232392,0,0.861162765,7.22095469,9.870899066,2.190753383,0,0.466096205,0,4.281796345,0.093189017,0.112373155,0.305500766
"Post",32,750,2.092134641,1.436563212,0,0.702733466,1.268007416,18.72942325,0,28.70691267,18.93850779,17.12160016,0,4.429218659,21.8910555,1.928382304,0,0.457892964,0,2.871014308,0,0,0.184135393
"Post",35,750,0,0,2.15735866,2.36605966,0,0,0,7.861380846,31.20521244,9.893189139,32.83858042,2.375673951,0,0,0,0.523359297,0,2.94359417,0.007365277,0.767840068,0.744726271
